run,logical_id,phase,attempt,prompt_tokens,completion_tokens,reasoning_tokens,latency_seconds,finish,currency_cost,requested_model,returned_model,system_fingerprint
R7C_smoke,smoke,smoke,1,48,23,17,0.8672604160383344,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_stateless/turn_00,primary,1,1642,88,68,1.1490512918680906,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_stateless/turn_01,primary,2,1749,39,25,0.5321740000508726,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_stateless/turn_02,primary,3,1785,50,9,0.8158074589446187,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_stateless/turn_03,primary,4,1869,36,8,1.018226542044431,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_inherited/turn_00,primary,5,1847,105,85,1.6546030000317842,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_inherited/turn_01,primary,6,1954,48,34,1.3247912500519305,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_inherited/turn_02,primary,7,1990,57,16,1.2777792089618742,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_inherited/turn_03,primary,8,2075,36,8,1.2617474580183625,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_resolve_rule/turn_00,primary,9,1934,146,126,1.4040952909272164,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_resolve_rule/turn_01,primary,10,2041,45,31,0.9798164579551667,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_resolve_rule/turn_02,primary,11,2077,57,16,0.6657978331204504,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c03_resolve_rule/turn_03,primary,12,2162,27,0,1.0395913748070598,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c09_resolve_rule/turn_00,primary,13,1977,141,121,1.454729750053957,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
R7C_main,primary_c09_resolve_rule/turn_01,primary,14,2113,73,22,1.0794861251488328,stop,UNKNOWN,deepseek-v4-flash,deepseek-flash,aeb56401ca74e127821c4f9126dcb669
