logical_id,method,replicate,stream,step,status,finish_reason,prompt_tokens,completion_tokens,cached_input_tokens,reasoning_tokens,visible_token_difference,issues,latency_seconds,estimate,currency,price_reason
r4/api/0/0/age_paced/primary,age_paced,primary,0,0,ok,stop,313,252,0,224,28,[],1.4461747079622,,UNKNOWN,prices_unknown
r4/api/0/0/bundle_myopic/primary,bundle_myopic,primary,0,0,ok,stop,313,212,128,184,28,[],1.048030833946541,,UNKNOWN,prices_unknown
r4/api/0/0/bundle_rollout/primary,bundle_rollout,primary,0,0,ok,stop,313,242,128,214,28,[],1.8016685000620782,,UNKNOWN,prices_unknown
r4/api/0/0/recheck_joint/primary,recheck_joint,primary,0,0,ok,stop,313,518,128,490,28,[],2.196191207971424,,UNKNOWN,prices_unknown
r4/api/0/1/bundle_myopic/primary,bundle_myopic,primary,0,1,ok,stop,313,325,0,297,28,[],1.6502522078808397,,UNKNOWN,prices_unknown
r4/api/0/1/bundle_rollout/primary,bundle_rollout,primary,0,1,ok,stop,313,422,128,394,28,[],2.631661375053227,,UNKNOWN,prices_unknown
r4/api/0/1/recheck_joint/primary,recheck_joint,primary,0,1,ok,stop,313,389,128,361,28,[],1.9861824580002576,,UNKNOWN,prices_unknown
r4/api/0/1/age_paced/primary,age_paced,primary,0,1,ok,stop,313,233,128,205,28,[],1.6512442079838365,,UNKNOWN,prices_unknown
r4/api/0/2/bundle_rollout/primary,bundle_rollout,primary,0,2,ok,stop,313,249,0,221,28,[],1.967714250087738,,UNKNOWN,prices_unknown
r4/api/0/2/recheck_joint/primary,recheck_joint,primary,0,2,ok,stop,313,455,128,427,28,[],2.7185149579308927,,UNKNOWN,prices_unknown
r4/api/0/2/age_paced/primary,age_paced,primary,0,2,ok,stop,313,273,128,245,28,[],1.608865583082661,,UNKNOWN,prices_unknown
r4/api/0/2/bundle_myopic/primary,bundle_myopic,primary,0,2,ok,stop,313,239,128,211,28,[],1.471292749978602,,UNKNOWN,prices_unknown
r4/api/0/3/recheck_joint/primary,recheck_joint,primary,0,3,ok,stop,313,278,128,250,28,[],1.732481542043388,,UNKNOWN,prices_unknown
r4/api/0/3/recheck_joint/repeat,recheck_joint,repeat,0,3,ok,stop,313,256,128,228,28,[],1.8135777909774333,,UNKNOWN,prices_unknown
r4/api/0/3/age_paced/primary,age_paced,primary,0,3,ok,stop,313,255,128,227,28,[],1.7276035421527922,,UNKNOWN,prices_unknown
r4/api/0/3/bundle_myopic/primary,bundle_myopic,primary,0,3,ok,stop,313,238,128,210,28,[],2.068803290836513,,UNKNOWN,prices_unknown
r4/api/0/3/bundle_myopic/repeat,bundle_myopic,repeat,0,3,ok,stop,313,190,128,162,28,[],1.3693721669260412,,UNKNOWN,prices_unknown
r4/api/0/3/bundle_rollout/primary,bundle_rollout,primary,0,3,ok,stop,313,334,128,306,28,[],1.9829932500142604,,UNKNOWN,prices_unknown
r4/api/0/4/age_paced/primary,age_paced,primary,0,4,ok,stop,313,200,128,172,28,[],1.7823080408852547,,UNKNOWN,prices_unknown
r4/api/0/4/bundle_myopic/primary,bundle_myopic,primary,0,4,ok,stop,313,297,128,269,28,[],1.8164173748809844,,UNKNOWN,prices_unknown
r4/api/0/4/bundle_rollout/primary,bundle_rollout,primary,0,4,ok,stop,313,339,128,311,28,[],1.765081665944308,,UNKNOWN,prices_unknown
r4/api/0/4/recheck_joint/primary,recheck_joint,primary,0,4,ok,stop,313,714,128,677,37,[],3.1785826249979436,,UNKNOWN,prices_unknown
r4/api/0/5/bundle_myopic/primary,bundle_myopic,primary,0,5,ok,stop,313,794,128,766,28,[],3.0699128748383373,,UNKNOWN,prices_unknown
r4/api/0/5/bundle_rollout/primary,bundle_rollout,primary,0,5,ok,stop,313,221,128,193,28,[],1.9278120829258114,,UNKNOWN,prices_unknown
r4/api/0/5/recheck_joint/primary,recheck_joint,primary,0,5,ok,stop,313,259,128,231,28,[],1.5361216659657657,,UNKNOWN,prices_unknown
r4/api/0/5/age_paced/primary,age_paced,primary,0,5,ok,stop,313,169,128,141,28,[],1.138780624838546,,UNKNOWN,prices_unknown
r4/api/0/6/bundle_rollout/primary,bundle_rollout,primary,0,6,ok,stop,358,243,0,202,41,[],1.8565653751138598,,UNKNOWN,prices_unknown
r4/api/0/6/recheck_joint/primary,recheck_joint,primary,0,6,ok,stop,358,250,128,209,41,[],1.0882224580273032,,UNKNOWN,prices_unknown
