panel,method,label_executions,reference_executions,total_workflows,tool_calls,selector_seconds,acquisition_elapsed_seconds,design_build_seconds,standalone_with_design_seconds,label_execution_seconds,reference_execution_seconds
0,single_only,1312,80,1392,5718,0.0,0.07419249881058931,0.0,0.07419249881058931,0.01898232800886035,0.0010167506989091635
0,full_joint,2912,80,2992,10908,1.158728264272213e-05,0.15865933382883668,0.0,0.15865933382883668,0.039590755244717,0.000983834033831954
0,random_16,1568,80,1648,6747,7.258076220750809e-05,0.08374037500470877,0.0,0.08374037500470877,0.018508919747546315,0.0011422873940318823
0,random_32,1824,80,1904,7533,0.00023899762891232967,0.09726687497459352,0.0,0.09726687497459352,0.02083334233611822,0.0011422873940318823
0,occupancy_16,1568,80,1648,6934,0.06689912243746221,0.1579352922271937,0.08567579090595245,0.24361108313314617,0.025398751720786095,0.0009318795055150986
0,occupancy_32,1824,80,1904,8070,0.12672020634636283,0.23336662608198822,0.08567579090595245,0.31904241698794067,0.029203878482803702,0.0009318795055150986
0,decision_16,1568,80,1648,6560,0.1808780007995665,0.27245154208503664,0.08567579090595245,0.3581273329909891,0.02573603135533631,0.0009524158667773008
0,decision_32,1824,80,1904,7492,0.32995233801193535,0.4367479591164738,0.08567579090595245,0.5224237500224262,0.028999443631619215,0.0009524158667773008
1,single_only,1312,80,1392,5760,0.0,0.07085524988360703,0.0,0.07085524988360703,0.01592015544883907,0.0010109215509146452
1,full_joint,2912,80,2992,10710,1.1001946404576302e-05,0.1528661660850048,0.0,0.1528661660850048,0.03566649975255132,0.0010263302829116583
1,random_16,1568,80,1648,6690,7.233256474137306e-05,0.09293345804326236,0.0,0.09293345804326236,0.027756368508562446,0.001221120823174715
1,random_32,1824,80,1904,7579,0.00024020904675126076,0.10662008309736848,0.0,0.10662008309736848,0.03037356771528721,0.001221120823174715
1,occupancy_16,1568,80,1648,6874,0.06320787593722343,0.15712454193271697,0.08567579090595245,0.24280033283866942,0.019541906658560038,0.000992421293631196
1,occupancy_32,1824,80,1904,8102,0.11988187278620899,0.2295650001615286,0.08567579090595245,0.31524079106748104,0.02357165887951851,0.000992421293631196
1,decision_16,1568,80,1648,6456,0.1731480008456856,0.2568227497395128,0.08567579090595245,0.34249854064546525,0.01801640447229147,0.0011366719845682383
1,decision_32,1824,80,1904,7332,0.3212510438170284,0.4196659168228507,0.08567579090595245,0.5053417077288032,0.020955242682248354,0.0011366719845682383
2,single_only,1312,80,1392,5648,0.0,0.0766536679584533,0.0,0.0766536679584533,0.02188239130191505,0.0009468731004744768
2,full_joint,2912,80,2992,10776,9.456649422645569e-06,0.1551262920256704,0.0,0.1551262920256704,0.03757864190265536,0.0009877909906208515
2,random_16,1568,80,1648,6412,6.841658614575863e-05,0.08338179206475616,0.0,0.08338179206475616,0.01812135148793459,0.0011362978257238865
2,random_32,1824,80,1904,7208,0.00023345835506916046,0.0968544171191752,0.0,0.0968544171191752,0.020541382487863302,0.0011362978257238865
2,occupancy_16,1568,80,1648,6768,0.0639226664789021,0.1545000420883298,0.08567579090595245,0.24017583299428225,0.02499350975267589,0.0009538743179291487
2,occupancy_32,1824,80,1904,8032,0.12129541509784758,0.22797129210084677,0.08567579090595245,0.3136470830067992,0.029260841431096196,0.0009538743179291487
2,decision_16,1568,80,1648,6608,0.17276404215954244,0.2652307499665767,0.08567579090595245,0.35090654087252915,0.02633220818825066,0.0009646709077060223
2,decision_32,1824,80,1904,7400,0.3207866239827126,0.42794012487865984,0.08567579090595245,0.5136159157846123,0.028889045119285583,0.0009646709077060223
3,single_only,1312,80,1392,5746,0.0,0.07047499995678663,0.0,0.07047499995678663,0.015585123095661402,0.001100040739402175
3,full_joint,2912,80,2992,10860,9.46270301938057e-06,0.15294991596601903,0.0,0.15294991596601903,0.035316415829584,0.000965543556958437
3,random_16,1568,80,1648,6442,7.124966941773891e-05,0.09134808299131691,0.0,0.09134808299131691,0.0265066830907017,0.0009891688823699951
3,random_32,1824,80,1904,7237,0.0002364593092352152,0.10464987391605973,0.0,0.10464987391605973,0.028829182498157024,0.0009891688823699951
3,occupancy_16,1568,80,1648,6946,0.06560929049737751,0.15300754201598465,0.08567579090595245,0.2386833329219371,0.020323091419413686,0.0009906669147312641
3,occupancy_32,1824,80,1904,8082,0.1233186253812164,0.23567316704429686,0.08567579090595245,0.3213489579502493,0.03305821726098657,0.0009906669147312641
3,decision_16,1568,80,1648,6710,0.1743302911054343,0.2599745406769216,0.08567579090595245,0.34565033158287406,0.019154336070641875,0.001005335245281458
3,decision_32,1824,80,1904,7406,0.32249266747385263,0.42243904061615467,0.08567579090595245,0.5081148315221071,0.021532295737415552,0.001005335245281458
