stream,step,method,regime,order_index,probe_count,proxy_probe_cost_NOT_CURRENCY,local_planning_seconds,local_probe_seconds,local_tool_seconds,plan_request_payload_sha256,amount_status,endpoint_status,stale_related,missing_related,plan_schema_valid_recomputed,answer_schema_valid,interface_failure,json_parse_failure,truncated,missing_call_records,answer_value_correct,end_to_end_success,reference_executor_correct,plan_follows_supplied_memory,answer_follows_tool_and_plan,stale_propagation_consistent,diagnostic_note
0,0,always,no_drift,1,2,0.36,3.0207913368940353e-05,8.33338126540184e-05,2.8791138902306557e-05,a695989fe94927957280d27a5088b3f6c2ad983d72b625dbceebcf55960cbd51,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,0,myopic,no_drift,3,0,0.0,7.041706703603268e-05,2.1665822714567184e-05,3.4708064049482346e-05,eb713bfbda66ceb3a47c9d4ae2efa6a0af274befb76ddcc02a54920a76e84b1a,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,0,never,no_drift,4,0,0.0,7.62520357966423e-06,9.250128641724586e-06,2.92088370770216e-05,eb713bfbda66ceb3a47c9d4ae2efa6a0af274befb76ddcc02a54920a76e84b1a,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,0,recheck,no_drift,2,0,0.0,0.00011837505735456944,1.9333092495799065e-05,2.291589044034481e-05,eb713bfbda66ceb3a47c9d4ae2efa6a0af274befb76ddcc02a54920a76e84b1a,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,0,ttl,no_drift,0,0,0.0,1.9208062440156937e-05,3.554183058440685e-05,4.237494431436062e-05,eb713bfbda66ceb3a47c9d4ae2efa6a0af274befb76ddcc02a54920a76e84b1a,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,1,always,no_drift,0,2,0.36,1.7249956727027893e-05,2.3499829694628716e-05,4.970910958945751e-05,e1388dea4166f92927bb78991f7bf948f240fbf857eae75b05f9d4be95879440,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,1,myopic,no_drift,2,0,0.0,2.737506292760372e-05,2.7921050786972046e-06,3.341701813042164e-05,c3352e8445cb7ba3358f5b11f0773d681a6a3bf27ca5957251dc5c0759e5de9b,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,1,never,no_drift,3,0,0.0,8.499948307871819e-06,6.041955202817917e-06,2.0416919142007828e-05,c3352e8445cb7ba3358f5b11f0773d681a6a3bf27ca5957251dc5c0759e5de9b,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,1,recheck,no_drift,1,0,0.0,4.424992948770523e-05,5.00003807246685e-06,2.287491224706173e-05,c3352e8445cb7ba3358f5b11f0773d681a6a3bf27ca5957251dc5c0759e5de9b,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,1,ttl,no_drift,4,0,0.0,1.1416152119636536e-05,7.709022611379623e-06,5.2625080570578575e-05,c3352e8445cb7ba3358f5b11f0773d681a6a3bf27ca5957251dc5c0759e5de9b,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,2,always,no_drift,4,2,0.36,7.216702215373516e-05,5.987496115267277e-05,3.1125033274292946e-05,a11a5f45f56039e9213d77ba7ae839ba2572a3953d61540770118844c42cc159,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,2,myopic,no_drift,1,0,0.0,0.00012629199773073196,5.917157977819443e-06,2.483394928276539e-05,010c2b28260d2e33f87671095269336c8356ca08d99edd6650a2c3d18b5e55ad,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,2,never,no_drift,2,0,0.0,3.6670826375484467e-06,4.749977961182594e-06,2.5875167921185493e-05,010c2b28260d2e33f87671095269336c8356ca08d99edd6650a2c3d18b5e55ad,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,2,recheck,no_drift,0,0,0.0,4.758313298225403e-05,3.0829105526208878e-06,5.587493069469929e-05,010c2b28260d2e33f87671095269336c8356ca08d99edd6650a2c3d18b5e55ad,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,2,ttl,no_drift,3,2,0.36,1.0916031897068024e-05,4.21660952270031e-05,5.370797589421272e-05,a11a5f45f56039e9213d77ba7ae839ba2572a3953d61540770118844c42cc159,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,3,always,no_drift,3,2,0.36,6.295810453593731e-05,4.77079302072525e-05,2.4624867364764214e-05,20b26bca8e6d32dffae20e17a6c9e6172e96a8f1590cc6f7c95dcd1ad46f8ec7,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,3,myopic,no_drift,0,0,0.0,7.441616617143154e-05,8.041970431804657e-06,4.437519237399101e-05,ca4901cf5af1ef509dea613788aafed4fa43232573e1fa607762ad99f28c1cba,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,3,never,no_drift,1,0,0.0,7.125083357095718e-06,6.375135853886604e-06,2.750009298324585e-05,ca4901cf5af1ef509dea613788aafed4fa43232573e1fa607762ad99f28c1cba,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,3,recheck,no_drift,4,0,0.0,0.00020524999126791954,1.2082979083061218e-05,3.416696563363075e-05,ca4901cf5af1ef509dea613788aafed4fa43232573e1fa607762ad99f28c1cba,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,3,ttl,no_drift,2,0,0.0,1.1625001206994057e-05,7.4589625000953674e-06,0.00020204205065965652,fa6c44752125da487c359e097bbedeaa466fe6e12975b3a64e7698154d447f2d,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,4,always,no_drift,2,2,0.36,0.00015108403749763966,0.00013729208149015903,2.829195000231266e-05,1b23a144cd2940e6fb7ac1bce8c1897b4fa3b34aec59f88a807ee83e4ddbaf9c,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,4,myopic,no_drift,4,1,0.18,5.537504330277443e-05,4.179193638265133e-05,2.4250010028481483e-05,fe92234b00d44fc4a78df34563216054a7a30554c3572dffed36b908cf6fd621,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,4,never,no_drift,0,0,0.0,6.709014996886253e-06,1.1041993275284767e-05,0.00012616696767508984,6f086f5e6e07703c1cdcd57053728c700b5b98541adc4153861af93aa8de8129,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,4,recheck,no_drift,3,1,0.18,0.00019199983216822147,5.679205060005188e-05,7.875030860304832e-06,fe92234b00d44fc4a78df34563216054a7a30554c3572dffed36b908cf6fd621,fresh,fresh,False,False,False,False,True,False,False,0,False,False,True,False,False,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
0,4,ttl,no_drift,1,0,0.0,2.7209054678678513e-05,6.125075742602348e-06,5.300017073750496e-05,3eeca6344645266474d2fa95abe6d29be595b7f9e23c46d21c41f019c277092b,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False,Axes are observational; coincident staleness and error do not by themselves prove causality.
