condition,seed,method,success,task_loss,probes_per_task,objective,cpu_ms,tasks
no_drift,20000,never,1.0,0.0,0.05,0.006,0.9713980000469746,80
no_drift,20000,fresh,1.0,0.0,1.3625,0.1635,1.0096149999299087,80
no_drift,20000,myopic,1.0,0.0,0.05,0.006,1.0047079999822017,80
no_drift,20000,recheck,1.0,0.0,0.05,0.006,1.4024350000454433,80
no_drift,20001,never,1.0,0.0,0.05,0.006,0.9371169999212725,80
no_drift,20001,fresh,1.0,0.0,1.25,0.15,1.0115480000649768,80
no_drift,20001,myopic,1.0,0.0,0.05,0.006,1.0212429999683081,80
no_drift,20001,recheck,1.0,0.0,0.05,0.006,1.3636269999324213,80
no_drift,20002,never,1.0,0.0,0.05,0.006,0.9409220000407004,80
no_drift,20002,fresh,1.0,0.0,1.1875,0.14250000000000002,1.0156339999412012,80
no_drift,20002,myopic,1.0,0.0,0.05,0.006,0.9930400000257578,80
no_drift,20002,recheck,1.0,0.0,0.05,0.006,1.3566459999765357,80
no_drift,20003,never,1.0,0.0,0.05,0.006,0.9367359999714608,80
no_drift,20003,fresh,1.0,0.0,0.9125,0.1095,1.0074619999613788,80
no_drift,20003,myopic,1.0,0.0,0.05,0.006,1.1596510000799753,80
no_drift,20003,recheck,1.0,0.0,0.05,0.006,1.3772369999287548,80
no_drift,20004,never,1.0,0.0,0.05,0.006,1.040720999981204,80
no_drift,20004,fresh,1.0,0.0,0.825,0.099,1.0336320000305932,80
no_drift,20004,myopic,1.0,0.0,0.05,0.006,0.9884240000701539,80
no_drift,20004,recheck,1.0,0.0,0.05,0.006,1.5100860000529792,80
no_drift,20005,never,1.0,0.0,0.05,0.006,0.9415739999667494,80
no_drift,20005,fresh,1.0,0.0,0.825,0.099,0.9958650000498892,80
no_drift,20005,myopic,1.0,0.0,0.05,0.006,0.982935000024554,80
no_drift,20005,recheck,1.0,0.0,0.05,0.006,1.3802110000824541,80
no_drift,20006,never,1.0,0.0,0.05,0.006,0.9230750000597254,80
no_drift,20006,fresh,1.0,0.0,1.225,0.147,1.00696100003006,80
no_drift,20006,myopic,1.0,0.0,0.05,0.006,1.0029750000057902,80
no_drift,20006,recheck,1.0,0.0,0.05,0.006,1.4165059999413643,80
no_drift,20007,never,1.0,0.0,0.05,0.006,0.9204409999483687,80
no_drift,20007,fresh,1.0,0.0,1.0125,0.12149999999999998,1.0400610000260713,80
no_drift,20007,myopic,1.0,0.0,0.05,0.006,0.9838060000220139,80
no_drift,20007,recheck,1.0,0.0,0.05,0.006,1.3455489998932535,80
no_drift,20008,never,1.0,0.0,0.05,0.006,0.9441769999511962,80
no_drift,20008,fresh,1.0,0.0,0.3,0.036,0.9786289999738074,80
no_drift,20008,myopic,1.0,0.0,0.05,0.006,0.9806419999449645,80
