stream_id,seed,hazard,rho,price,method,success,task_loss,probes_per_task,objective,cpu_ms,tasks
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,never,0.675,0.27749999999999997,0.05,0.27949999999999997,1.225930999908087,80
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,fresh,1.0,0.0,1.225,0.049,1.511618999984421,80
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,ttl,0.9875,0.008125,0.5125,0.028625,1.3122000000294065,80
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,entropy,0.9875,0.008125,0.4125,0.024625,1.3159049999558192,80
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,random,0.7375,0.17750000000000002,0.2625,0.188,1.3571570000294741,80
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,myopic,0.9625,0.014374999999999999,0.25,0.024375,1.2356050000335017,80
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,recheck,1.0,0.0,0.425,0.017,1.636727000004612,80
h0.01_r0.2_s10000,10000,0.01,0.2,0.04,no_task,1.0,0.0,0.4375,0.0175,1.6464010000163398,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,never,0.9875,0.008125,0.05,0.010125,1.1154940000324132,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,fresh,1.0,0.0,0.9875,0.0395,1.2529010000434937,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,ttl,1.0,0.0,0.4125,0.0165,1.3077129999601311,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,entropy,1.0,0.0,0.35,0.014000000000000002,1.2707880000562,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,random,0.8625,0.06937499999999999,0.2875,0.080875,1.3499359999968874,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,myopic,1.0,0.0,0.2625,0.010499999999999999,1.2095560000489058,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,recheck,1.0,0.0,0.3625,0.014499999999999999,1.6472730000032243,80
h0.01_r0.2_s10001,10001,0.01,0.2,0.04,no_task,1.0,0.0,0.4375,0.0175,1.6058810000458834,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,never,0.475,0.290625,0.05,0.292625,1.134253000032004,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,fresh,1.0,0.0,1.175,0.047,1.2528510000038295,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,ttl,0.9625,0.018125000000000002,0.525,0.039125,1.2660200000027544,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,entropy,0.9625,0.018125000000000002,0.425,0.035125,1.311508999947364,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,random,0.8,0.09187500000000001,0.2625,0.10237500000000002,1.574253000057979,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,myopic,0.975,0.0043749999999999995,0.3,0.016375,1.3185290000592431,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,recheck,0.9875,0.001875,0.4375,0.019375,1.6247589999238699,80
h0.01_r0.2_s10002,10002,0.01,0.2,0.04,no_task,0.9375,0.02375,0.4375,0.041249999999999995,1.8205229999921357,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,never,0.7,0.09687500000000002,0.05,0.09887500000000002,1.1345640000399726,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,fresh,1.0,0.0,1.1125,0.0445,1.403356999958305,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,ttl,0.975,0.008749999999999999,0.5,0.028749999999999998,1.3062709999758226,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,entropy,0.975,0.008749999999999999,0.4,0.02475,1.2815740000178266,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,random,0.975,0.0075,0.35,0.021500000000000002,1.3142429999106753,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,myopic,0.9375,0.016875,0.25,0.026875000000000003,1.1983889999100938,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,recheck,0.9625,0.010624999999999999,0.375,0.025625,1.599251000016011,80
h0.01_r0.2_s10003,10003,0.01,0.2,0.04,no_task,0.975,0.00625,0.4375,0.02375,1.5940929999942455,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,never,0.9125,0.028749999999999998,0.05,0.03075,1.1043069999914223,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,fresh,1.0,0.0,1.0875,0.0435,1.2533610000673434,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,ttl,1.0,0.0,0.525,0.020999999999999998,1.2808520000362478,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,entropy,1.0,0.0,0.425,0.017,1.2945630001013342,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,random,1.0,0.0,0.375,0.015,1.4131709999674058,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,myopic,0.975,0.0075,0.3125,0.02,1.2699060000613827,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,recheck,0.9875,0.003125,0.4875,0.022625,1.9012430000202585,80
h0.01_r0.2_s10004,10004,0.01,0.2,0.04,no_task,0.975,0.008749999999999999,0.4375,0.026250000000000002,2.145351000081064,80
