family,method,normalized_cost,complete,planning_ms,execution_ms,probes
coupled,class_entropy,0.9971490936634879,1.0,0.2378037999903881,0.7756902500261731,2.65
coupled,conservative,1.0,1.0,0.0,0.570548000001736,0.0
coupled,discard_replay,0.8817505986272952,1.0,33.01552995000634,0.7045194499937679,2.15
coupled,ec2,1.04292203209004,1.0,0.39846160000251984,0.7905438500188211,4.65
coupled,exact,0.8749891738580576,1.0,47.317811249968145,0.968071650015645,2.95
coupled,graph_entropy,1.0243434435679502,1.0,0.341569050004864,0.6991397999911442,4.6
coupled,lookahead2,0.9209939905242756,1.0,1.5936281500103178,0.7417826000050809,2.75
coupled,myopic,1.0,1.0,0.125556399996185,0.5594478500086097,0.0
coupled,point_estimate,0.62089751216921,0.6,0.0,0.5570422499943106,0.0
coupled,random,1.1635119389083162,1.0,0.09257834998948053,0.8145843000022523,3.95
coupled,restart,1.0,1.0,0.0,0.5661416999998892,0.0
expensive,class_entropy,0.8916818799753086,1.0,0.23410704999378135,0.7725586999924872,2.8
expensive,conservative,1.0,1.0,0.0,0.584067100004404,0.0
expensive,discard_replay,0.9876050320133347,1.0,21.900840400007837,0.6370027499997377,0.45
expensive,ec2,0.9132596277269558,1.0,0.4078615000082664,0.7877928000027623,4.8
expensive,exact,0.8815983214462827,1.0,39.93876730003194,1.0199557499788625,2.45
expensive,graph_entropy,0.9132596277269558,1.0,0.34817609999890914,0.7768708499952481,4.8
expensive,lookahead2,0.8815983214462827,1.0,1.4546466500007682,0.7485042999860525,2.2
expensive,myopic,1.0,1.0,0.1379155999813974,0.5640904500239685,0.0
expensive,point_estimate,0.6119583433229265,0.55,0.0,0.5509738999990077,0.0
expensive,random,1.717119597080685,1.0,0.08996634999789417,0.7525164499895709,4.25
expensive,restart,1.0,1.0,0.0,0.5524815999876864,0.0
general,class_entropy,0.9829424534345852,1.0,0.27271380001252504,0.7966363499633644,2.7
general,conservative,1.0,1.0,0.0,0.6144473999938782,0.0
general,discard_replay,0.9543210715763303,1.0,18.60746125000219,0.7425378999982968,1.45
general,ec2,1.0030005308681798,1.0,0.4287019999992481,0.8148116999905142,4.7
general,exact,0.8898621686012351,1.0,40.39431375002209,1.1186816499559882,2.9
general,graph_entropy,1.0030005308681798,1.0,0.3504530500379132,0.8438193499614499,4.7
general,lookahead2,0.912131805599999,1.0,1.6089480499886122,0.8150171000067985,2.5
general,myopic,0.9899605631998183,1.0,0.20539000000212576,0.6993561499996304,0.9
general,point_estimate,0.6156124736334648,0.35,0.0,0.6397984999978235,0.0
general,random,1.1044602621606108,1.0,0.1156407999872044,0.857264650005618,3.55
general,restart,1.0,1.0,0.0,0.6451894999884189,0.0
nuisance,class_entropy,0.7036740884135831,1.0,0.005896899995150245,0.5573745500157656,0.0
nuisance,conservative,0.7036740884135831,1.0,0.0,0.5506179999713368,0.0
nuisance,discard_replay,0.7036740884135831,1.0,0.14815720000456162,0.5365104000077281,0.0
nuisance,ec2,0.7036740884135831,1.0,0.007838350018118891,0.547188399963261,0.0
nuisance,exact,0.7036740884135831,1.0,0.8113564500035864,0.5459319499948379,0.0
nuisance,graph_entropy,0.7251297259601399,1.0,0.06687719999263204,0.5599220000078731,2.0
nuisance,lookahead2,0.7036740884135831,1.0,0.20436830001244738,0.5341550499849745,0.0
nuisance,myopic,0.7036740884135831,1.0,0.04565094999406934,0.5300701499834304,0.0
nuisance,point_estimate,0.7036740884135831,1.0,0.0,0.5349003999867818,0.0
nuisance,random,0.7036740884135831,1.0,0.001420600000301375,0.5535069500012924,0.0
nuisance,restart,1.0,1.0,0.0,0.5595073499989667,0.0
overlap,class_entropy,0.9172830249682665,1.0,0.14739055000632104,0.7411202999890065,1.7
overlap,conservative,1.0,1.0,0.0,0.6074863499804906,0.0
overlap,discard_replay,0.9026614673883578,1.0,6.337200199993731,0.7653802499987705,1.4
overlap,ec2,0.9401416054144827,1.0,0.21648894999088947,0.7010693499978515,3.7
overlap,exact,0.7593134675117502,1.0,16.182950599994683,0.9386523000046054,1.95
overlap,graph_entropy,0.9401416054144827,1.0,0.25048809999930194,0.7301890500116315,3.7
overlap,lookahead2,0.7593134675117502,1.0,1.0946951499875013,0.7711865500255044,1.95
overlap,myopic,0.8932877012089966,1.0,0.14586974999133412,0.6806327500044063,0.95
overlap,point_estimate,0.7082091823525117,0.9,0.0,0.6994727499829878,0.0
overlap,random,1.0167781538771155,1.0,0.07034454998233737,0.781593500011013,2.05
overlap,restart,1.0,1.0,0.0,0.6072611999968558,0.0
sparse,class_entropy,0.47645645252403906,1.0,0.11225909997847335,0.6531174500253201,1.4
sparse,conservative,1.0,1.0,0.0,0.6392626500257848,0.0
sparse,discard_replay,0.5015948431340518,1.0,5.914380450019507,0.5947556499791062,1.45
sparse,ec2,0.49947098796209277,1.0,0.1888394499815149,0.6635915000344994,3.4
sparse,exact,0.41907554962599647,1.0,13.452900849989646,0.7305692500096939,1.25
sparse,graph_entropy,0.49947098796209277,1.0,0.2089767999791547,0.6122900000093523,3.4
sparse,lookahead2,0.41907554962599647,1.0,0.8329904999868631,0.6541505500081257,1.25
sparse,myopic,0.44191242583868406,1.0,0.13643730001149373,0.6560929999807286,1.3
sparse,point_estimate,0.35936437267998733,0.65,0.0,0.5457899500072472,0.0
sparse,random,0.6841325700973492,1.0,0.06479824999132684,0.7006054499981929,2.25
sparse,restart,1.0,1.0,0.0,0.6175075500209459,0.0
