file,path,reference,observed,abs_error,ulp_units
000_single_task_exact.json,records.0.predicted_task_error_after_receipts,0.22559999999999997,0.2256,2.7755575615628914e-17,1.0
000_single_task_exact.json,records.1.predicted_task_error_after_receipts,0.37779456,0.37779455999999995,5.551115123125783e-17,1.0
000_single_task_exact.json,records.3.predicted_task_error_after_receipts,0.22559999999999997,0.2256,2.7755575615628914e-17,1.0
000_single_task_exact.json,records.4.predicted_task_error_after_receipts,0.3777945599999999,0.37779455999999995,5.551115123125783e-17,1.0
001_single_task_exact.json,records.1.predicted_task_error_after_receipts,0.37779456,0.37779455999999995,5.551115123125783e-17,1.0
001_single_task_exact.json,records.6.predicted_task_error_after_receipts,0.22560000000000002,0.2256,2.7755575615628914e-17,1.0
004_single_task_exact.json,records.0.predicted_task_error_after_receipts,0.073446,0.07344600000000001,1.3877787807814457e-17,1.0
004_single_task_exact.json,records.3.predicted_task_error_after_receipts,0.40822039115828435,0.4082203911582843,5.551115123125783e-17,1.0
004_single_task_exact.json,records.4.predicted_task_error_after_receipts,0.36176778375936,0.36176778375936003,5.551115123125783e-17,1.0
004_single_task_exact.json,records.7.predicted_task_error_after_receipts,0.37779455999999995,0.3777945599999999,5.551115123125783e-17,1.0
005_single_task_exact.json,records.1.predicted_task_error_after_receipts,0.38036428108799997,0.3803642810879999,5.551115123125783e-17,1.0
005_single_task_exact.json,records.6.predicted_task_error_after_receipts,0.07349968545474969,0.0734996854547497,1.3877787807814457e-17,1.0
006_single_task_exact.json,records.6.predicted_task_error_after_receipts,0.47898250552319993,0.4789825055231999,5.551115123125783e-17,1.0
006_single_task_exact.json,records.7.predicted_task_error_after_receipts,0.5725456484408081,0.5725456484408082,1.1102230246251565e-16,1.0
007_single_task_exact.json,records.3.predicted_task_error_after_receipts,0.174225,0.17422500000000002,2.7755575615628914e-17,1.0
007_single_task_exact.json,records.4.predicted_task_error_after_receipts,0.3447126047999999,0.34471260479999993,5.551115123125783e-17,1.0
007_single_task_exact.json,records.7.predicted_task_error_after_receipts,0.4799334452104255,0.4799334452104256,5.551115123125783e-17,1.0
008_single_task_exact.json,records.1.predicted_task_error_after_receipts,0.43404104831999996,0.4340410483199999,5.551115123125783e-17,1.0
