path,bytes,category
.gitattributes,66,.gitattributes
.gitignore,144,.gitignore
AGENTS.md,1430,AGENTS.md
ARCHIVE_INDEX_ZH.md,44038,ARCHIVE_INDEX_ZH.md
CONTENTS_ZH.md,1739,CONTENTS_ZH.md
GITHUB_UPLOAD_PROMPT_ZH.md,2467,GITHUB_UPLOAD_PROMPT_ZH.md
NOTICE.md,895,NOTICE.md
PUBLISH_STATUS.json,543,PUBLISH_STATUS.json
README.md,5100,README.md
RESEARCH_TIMELINE_ZH.md,5355,RESEARCH_TIMELINE_ZH.md
THIRD_PARTY_NOTICES.md,1610,THIRD_PARTY_NOTICES.md
UPLOAD_GUIDE_ZH.md,4194,UPLOAD_GUIDE_ZH.md
analysis/R11/BUNDLE_MANIFEST.json,7759,analysis
analysis/R11/DELIVERY_VERIFICATION.json,2882,analysis
analysis/R11/NOTICE.md,1051,analysis
analysis/R11/README_ZH.md,2759,analysis
analysis/R11/docs/ANALYSIS_SPEC_ZH.md,2226,analysis
analysis/R11/docs/CLAIM_EVIDENCE_MATRIX_ZH.md,1686,analysis
analysis/R11/docs/RESEARCH_REPORT_ZH.md,8059,analysis
analysis/R11/docs/SOURCES_AND_NEXT_GATE_ZH.md,4333,analysis
analysis/R11/inputs/R10_Review_Report_ZH.md,13578,analysis
analysis/R11/inputs/R10_feedback_inner.zip,2214841,analysis
analysis/R11/inputs/R10_handoff.zip,64645,analysis
analysis/R11/inputs/R7C1_Review_Report_ZH.md,11765,analysis
analysis/R11/inputs/R8_Research_Report_ZH.md,7080,analysis
analysis/R11/inputs/R9NT1_Review_Report_ZH.md,13561,analysis
analysis/R11/logs/final_delivery_tests.log,3079,analysis
analysis/R11/logs/final_tests.log,3079,analysis
analysis/R11/logs/fresh_audit.log,2752,analysis
analysis/R11/logs/fresh_tests.log,3080,analysis
analysis/R11/logs/green.log,2589,analysis
analysis/R11/logs/input_gate_red.log,4669,analysis
analysis/R11/logs/latex1.log,5928,analysis
analysis/R11/logs/latex2.log,4976,analysis
analysis/R11/logs/latex3.log,4776,analysis
analysis/R11/logs/latex4.log,4776,analysis
analysis/R11/logs/latex5.log,4490,analysis
analysis/R11/logs/latex6.log,4490,analysis
analysis/R11/logs/latex_final1.log,4490,analysis
analysis/R11/logs/latex_final2.log,4490,analysis
analysis/R11/logs/packaging_preflight_correction.log,381,analysis
analysis/R11/logs/pdf_fonts.log,1034,analysis
analysis/R11/logs/red.log,19170,analysis
analysis/R11/logs/run1.log,2751,analysis
analysis/R11/logs/run2.log,2751,analysis
analysis/R11/logs/standalone_latex_1.log,5444,analysis
analysis/R11/logs/standalone_latex_2.log,4491,analysis
analysis/R11/paper/main.pdf,121021,analysis
analysis/R11/paper/main.tex,19976,analysis
analysis/R11/paper/spconf.sty,4162,analysis
analysis/R11/results/fresh_equality.json,187,analysis
analysis/R11/results/rerun_equality.json,187,analysis
analysis/R11/results/run1/branch_evidence.json,961851,analysis
analysis/R11/results/run1/branch_results.csv,39507,analysis
analysis/R11/results/run1/episode_first_proposals.csv,2409,analysis
analysis/R11/results/run1/proposal_ledger.csv,7383,analysis
analysis/R11/results/run1/summary.csv,291,analysis
analysis/R11/results/run1/verification.json,2751,analysis
analysis/R11/results/run2/branch_evidence.json,961851,analysis
analysis/R11/results/run2/branch_results.csv,39507,analysis
analysis/R11/results/run2/episode_first_proposals.csv,2409,analysis
analysis/R11/results/run2/proposal_ledger.csv,7383,analysis
analysis/R11/results/run2/summary.csv,291,analysis
analysis/R11/results/run2/verification.json,2751,analysis
analysis/R11/scripts/proposal_audit.py,15203,analysis
analysis/R11/tests/test_proposal_audit.py,7471,analysis
analysis/R12/DELIVERY_VERIFICATION.json,3737,analysis
analysis/R12/MANIFEST.json,32051,analysis
analysis/R12/README.md,2853,analysis
analysis/R12/docs/CLAIM_EVIDENCE_MATRIX_ZH.md,1179,analysis
analysis/R12/docs/MAINTAINER_REPRODUCTION_EN.md,2344,analysis
analysis/R12/docs/PREVIOUS_GATE_ZH.md,4333,analysis
analysis/R12/docs/PROTOCOL.json,1619,analysis
analysis/R12/docs/R12_Research_Report_ZH.md,8546,analysis
analysis/R12/docs/SOURCE_AUDIT_ZH.md,3880,analysis
analysis/R12/docs/SUPPLEMENT_PROTOCOL.json,819,analysis
analysis/R12/launch.py,1472,analysis
analysis/R12/logs/archive_red.log,4887,analysis
analysis/R12/logs/contract_green.log,1002,analysis
analysis/R12/logs/contract_red.log,6148,analysis
analysis/R12/logs/evidence_green.log,2365,analysis
analysis/R12/logs/evidence_red.log,10767,analysis
analysis/R12/logs/final_tests.log,3612,analysis
analysis/R12/logs/material_verification.json,34,analysis
analysis/R12/logs/minimal_repro.json,1056,analysis
analysis/R12/logs/native_run1.log,1066,analysis
analysis/R12/logs/native_run2.log,1066,analysis
analysis/R12/logs/reference_clock_red.log,4842,analysis
analysis/R12/logs/regrade_final.log,330,analysis
analysis/R12/logs/regrade_run1.log,330,analysis
analysis/R12/logs/regrade_run2.log,330,analysis
analysis/R12/logs/reminder_diagnosis.json,6870,analysis
analysis/R12/logs/reminder_regression_green.log,1166,analysis
analysis/R12/logs/reminder_regression_red.log,2168,analysis
analysis/R12/logs/supplement_pre_fix.py.txt,5776,analysis
analysis/R12/logs/supplement_run1.log,699,analysis
analysis/R12/logs/supplement_run2.log,683,analysis
analysis/R12/logs/supplement_run3.log,683,analysis
analysis/R12/results/native_run1/results.csv,2874,analysis
analysis/R12/results/native_run1/scientific_projection.json,1377621,analysis
analysis/R12/results/native_run1/summary.json,1066,analysis
analysis/R12/results/native_run1/trajectories/cellular_off__achieve_revert_repair.json,45776,analysis
analysis/R12/results/native_run1/trajectories/cellular_off__achieve_then_revert.json,42637,analysis
analysis/R12/results/native_run1/trajectories/cellular_off__claim_only.json,36352,analysis
analysis/R12/results/native_run1/trajectories/cellular_off__correct.json,39488,analysis
analysis/R12/results/native_run1/trajectories/cellular_off__correct_then_redundant_error.json,41636,analysis
analysis/R12/results/native_run1/trajectories/cellular_off__error_then_correct.json,41618,analysis
analysis/R12/results/native_run1/trajectories/turn_on_cellular_low_battery_mode__achieve_revert_repair.json,50484,analysis
analysis/R12/results/native_run1/trajectories/turn_on_cellular_low_battery_mode__achieve_then_revert.json,47349,analysis
analysis/R12/results/native_run1/trajectories/turn_on_cellular_low_battery_mode__claim_only.json,37940,analysis
analysis/R12/results/native_run1/trajectories/turn_on_cellular_low_battery_mode__correct.json,44186,analysis
analysis/R12/results/native_run1/trajectories/turn_on_cellular_low_battery_mode__correct_then_redundant_error.json,46328,analysis
analysis/R12/results/native_run1/trajectories/turn_on_cellular_low_battery_mode__error_then_correct.json,46504,analysis
analysis/R12/results/native_run1/trajectories/turn_on_location_low_battery_mode__achieve_revert_repair.json,50530,analysis
analysis/R12/results/native_run1/trajectories/turn_on_location_low_battery_mode__achieve_then_revert.json,47397,analysis
analysis/R12/results/native_run1/trajectories/turn_on_location_low_battery_mode__claim_only.json,37988,analysis
analysis/R12/results/native_run1/trajectories/turn_on_location_low_battery_mode__correct.json,44234,analysis
analysis/R12/results/native_run1/trajectories/turn_on_location_low_battery_mode__correct_then_redundant_error.json,46418,analysis
analysis/R12/results/native_run1/trajectories/turn_on_location_low_battery_mode__error_then_correct.json,46552,analysis
analysis/R12/results/native_run1/trajectories/turn_on_wifi_low_battery_mode__achieve_revert_repair.json,50228,analysis
analysis/R12/results/native_run1/trajectories/turn_on_wifi_low_battery_mode__achieve_then_revert.json,47141,analysis
analysis/R12/results/native_run1/trajectories/turn_on_wifi_low_battery_mode__claim_only.json,37828,analysis
analysis/R12/results/native_run1/trajectories/turn_on_wifi_low_battery_mode__correct.json,44026,analysis
analysis/R12/results/native_run1/trajectories/turn_on_wifi_low_battery_mode__correct_then_redundant_error.json,46125,analysis
analysis/R12/results/native_run1/trajectories/turn_on_wifi_low_battery_mode__error_then_correct.json,46261,analysis
analysis/R12/results/native_run1/trajectories/wifi_off__achieve_revert_repair.json,45540,analysis
analysis/R12/results/native_run1/trajectories/wifi_off__achieve_then_revert.json,42450,analysis
analysis/R12/results/native_run1/trajectories/wifi_off__claim_only.json,36260,analysis
analysis/R12/results/native_run1/trajectories/wifi_off__correct.json,39347,analysis
analysis/R12/results/native_run1/trajectories/wifi_off__correct_then_redundant_error.json,41452,analysis
analysis/R12/results/native_run1/trajectories/wifi_off__error_then_correct.json,41435,analysis
analysis/R12/results/native_run2/results.csv,2874,analysis
analysis/R12/results/native_run2/scientific_projection.json,1377621,analysis
analysis/R12/results/native_run2/summary.json,1066,analysis
analysis/R12/results/native_run2/trajectories/cellular_off__achieve_revert_repair.json,45776,analysis
analysis/R12/results/native_run2/trajectories/cellular_off__achieve_then_revert.json,42637,analysis
analysis/R12/results/native_run2/trajectories/cellular_off__claim_only.json,36352,analysis
analysis/R12/results/native_run2/trajectories/cellular_off__correct.json,39488,analysis
analysis/R12/results/native_run2/trajectories/cellular_off__correct_then_redundant_error.json,41636,analysis
analysis/R12/results/native_run2/trajectories/cellular_off__error_then_correct.json,41618,analysis
analysis/R12/results/native_run2/trajectories/turn_on_cellular_low_battery_mode__achieve_revert_repair.json,50484,analysis
analysis/R12/results/native_run2/trajectories/turn_on_cellular_low_battery_mode__achieve_then_revert.json,47348,analysis
analysis/R12/results/native_run2/trajectories/turn_on_cellular_low_battery_mode__claim_only.json,37940,analysis
analysis/R12/results/native_run2/trajectories/turn_on_cellular_low_battery_mode__correct.json,44186,analysis
analysis/R12/results/native_run2/trajectories/turn_on_cellular_low_battery_mode__correct_then_redundant_error.json,46327,analysis
analysis/R12/results/native_run2/trajectories/turn_on_cellular_low_battery_mode__error_then_correct.json,46504,analysis
analysis/R12/results/native_run2/trajectories/turn_on_location_low_battery_mode__achieve_revert_repair.json,50532,analysis
analysis/R12/results/native_run2/trajectories/turn_on_location_low_battery_mode__achieve_then_revert.json,47397,analysis
analysis/R12/results/native_run2/trajectories/turn_on_location_low_battery_mode__claim_only.json,37988,analysis
analysis/R12/results/native_run2/trajectories/turn_on_location_low_battery_mode__correct.json,44234,analysis
analysis/R12/results/native_run2/trajectories/turn_on_location_low_battery_mode__correct_then_redundant_error.json,46417,analysis
analysis/R12/results/native_run2/trajectories/turn_on_location_low_battery_mode__error_then_correct.json,46553,analysis
analysis/R12/results/native_run2/trajectories/turn_on_wifi_low_battery_mode__achieve_revert_repair.json,50227,analysis
analysis/R12/results/native_run2/trajectories/turn_on_wifi_low_battery_mode__achieve_then_revert.json,47141,analysis
analysis/R12/results/native_run2/trajectories/turn_on_wifi_low_battery_mode__claim_only.json,37828,analysis
analysis/R12/results/native_run2/trajectories/turn_on_wifi_low_battery_mode__correct.json,44026,analysis
analysis/R12/results/native_run2/trajectories/turn_on_wifi_low_battery_mode__correct_then_redundant_error.json,46125,analysis
analysis/R12/results/native_run2/trajectories/turn_on_wifi_low_battery_mode__error_then_correct.json,46262,analysis
analysis/R12/results/native_run2/trajectories/wifi_off__achieve_revert_repair.json,45540,analysis
analysis/R12/results/native_run2/trajectories/wifi_off__achieve_then_revert.json,42450,analysis
analysis/R12/results/native_run2/trajectories/wifi_off__claim_only.json,36260,analysis
analysis/R12/results/native_run2/trajectories/wifi_off__correct.json,39348,analysis
